co2_ppm,pm25_ugm3,pm10_ugm3,no2_ppb,exposure_hours,open_environment,absences,day_of_year,date
488;16055381921103,16;165526331503806,34;7748717738656,37;96769897318061,7;6259327422505585,0;0,0,42,2024-02-11
542;9112976766896,15;353323032152334,24;28323935536349,5;504269385015307,11;909422394522576,0;0,0,333,2024-11-28
408;4524941794481,48;76951452870205,101;08241759472554,10;635539952753684,7;418370774584826,1;0,0,233,2024-08-20
556;2274095467902,5;332071598743921,7;563640676331958,40;49900635546566,7;235316118048694,0;0,0,70,2024-03-10
447;4880945275431,26;50311129661824,51;271244534385794,68;46783416011053,8;236622296233339,1;0,0,16,2024-01-16
525;6631171880153,14;602096593537686,28;733713000554296,70;30639947037186,6;612918221075629,0;0,1,69,2024-03-09
485;5461802775041,32;89432985009149,62;82655546395335,27;4420503302779,8;223199433803028,0;0,0,53,2024-02-22
421;16143347158334,5;495892712007665,8;392685773121556,11;567074532996248,12;0,1;0,0,173,2024-06-21
487;7695612912878,6;311768781763805,13;164701248709996,216;4074121199834,8;599391111102182,1;0,0,262,2024-09-18
570;0550312574628,8;656345223142658,12;56877622759063,15;778182670992916,8;526491843453163,0;0,0,289,2024-10-15
481;3466853120869,15;55227074074116,20;96868048193316,54;487865624523344,6;564190214181576,0;0,0,15,2024-01-15
545;9599383257536,18;71508388677949,36;41428478942979,113;0379654193475,11;418414308705929,0;0,3,270,2024-09-26
585;0832274023073,12;250977125172511,21;168808162526403,18;25985573935713,11;878065401595958,0;0,0,167,2024-06-15
366;5297359439314,10;95735301282908,22;61803898914107,10;407436208628258,9;70536075165402,1;0,0,63,2024-03-03
477;16800961899673,16;3058348714185,26;824034757886977,12;121968876093836,9;307666446124758,1;0,0,261,2024-09-17
500;2425744632492,10;528187556626447,15;28114551103059,9;721236833668057,7;530469297122366,0;0,0,121,2024-04-30
574;2359201155895,40;50027619318004,83;13888488432694,39;97722729377795,8;782675161689244,0;0,0,346,2024-12-11
494;20445060744896,9;576252314678984,17;17997542657122,13;061237327176205,6;329684790274985,0;0,0,240,2024-08-27
431;70707396012887,6;521906013487521,9;58900327603925,15;465594243606514,5;7477720484425205,0;0,0,107,2024-04-16
368;6228781058419,16;68860783462008,32;51517562347633,15;712708575063482,5;025280166548514,1;0,0,180,2024-06-28
452;4042473330691,228;87413886459373,402;81900500808223,35;59615266034475,8;821347946549597,1;0,0,16,2024-01-16
555;5833501032889,3;9753068643697,7;3299955155555105,18;08637104363212,5;243251055358623,0;0,0,355,2024-12-20
485;7410024937354,8;434821997464349,14;46410449423333,93;69693568018872,7;000729193775034,0;0,0,309,2024-11-04
578;3155475266424,7;947109552685372,16;258499392017626,8;44794019399108,7;877541249596046,0;0,0,215,2024-08-02
440;3087962638624,5;827655352078336,11;926916997643309,14;422905168198364,9;990580799044062,0;0,0,77,2024-03-17
446;6960100676342,25;15126771242598,48;75447337907061,1;1844350472648624,6;843559666758161,1;0,0,225,2024-08-12
467;33902801425256,4;920200779105638,6;862997358103723,2;2823218729603623,10;226544625478786,0;0,0,93,2024-04-02
500;88983353187047,11;731271918403642,24;10739397234442,12;635867667059015,9;878317826288365,0;0,0,181,2024-06-29
542;8439202789848,7;68926466086219,14;63968081749321,3;829666596780831,5;857383344658051,0;0,0,174,2024-06-22
406;9793317358024,18;390950823582184,35;44527951450696,50;67460319090149,10;245650987770553,1;0,0,354,2024-12-19
516;9266673462105,15;927508304697524,25;90903178060261,15;064566791348549,7;432837755716928,0;0,0,354,2024-12-19
500;3146404607221,4;877817719777772,10;201231895405988,237;33914579092192,7;002097752548163,1;0,0,219,2024-08-06
421;15540652384254,13;931641558083054,27;20618944330461,46;8361644815914,7;441293449173349,1;0,0,143,2024-05-22
491;7846056032571,60;477006974985066,84;7483300541232,20;34289824351941,7;992988546482652,1;0,0,315,2024-11-10
2126;2292714179453,2;8679305700272115,4;780840922628514,2;4822703471685106,7;169910799124731,0;0,1,282,2024-10-08
571;7882506749169,8;190700959641518,17;18198008071687,5;804763211689006,6;320616679277505,0;0,0,259,2024-09-15
626;4941172394739,26;20800294547785,35;18364199651278,34;061941422463335,6;497488812610653,0;0,0,356,2024-12-21
391;7013299923626,14;745394050391052,31;927832478403623,46;934162831682144,8;277885619408032,0;0,0,47,2024-02-16
492;1862846717714,19;32450846888961,36;93389553247629,11;350755255105682,7;679072896365911,0;0,0,5,2024-01-05
574;6243276308325,182;0858821993729,340;1798335590019,12;358337949445474,9;054619386799128,0;0,0,62,2024-03-02
2144;364161901199,118;75224301438828,183;29448263733352,1;9125622439613763,8;104725794406525,0;0,0,84,2024-03-24
468;5572936685654,7;147897486544422,10;892771113769236,34;2659864002227,8;154027991967517,1;0,0,133,2024-05-12
503;7608887970507,14;830878492055495,31;85453792678191,31;367150107359304,9;185624469668577,0;0,0,336,2024-12-01
545;195387248374,8;353835246957502,13;102532868284532,9;60394310095364,10;837836143825369,0;0,1,63,2024-03-03
442;216138230396,60;029320653302,119;93586736186364,42;25740301496511,10;918044696583776,1;0,0,281,2024-10-07
508;3891030829904,25;007079461914547,41;35694854186656,67;16902433733016,10;680812840228436,1;0,0,44,2024-02-13
462;7210421650607,11;258949455029098,16;04770338147265,18;189817002311344,9;740898339482616,1;0,0,153,2024-06-01
466;8801331037601,4;234287480618111,5;545408210597843,180;37238516318257,12;0,1;0,0,270,2024-09-26
429;4061516938766,18;56494393911461,33;22812337597493,43;982497371254254,8;875647532487145,1;0,0,342,2024-12-07
510;7436265556504,15;174027828961869,33;05208163046616,12;531105176222514,8;651091630644144,0;0,0,171,2024-06-19
514;0465087308228,8;060202915224561,13;156045152702196,8;72665106878939,12;0,0;0,0,156,2024-06-04
563;6671285426978,109;72466622971956,177;91559476311662,77;92683000400251,4;0,0;0,0,275,2024-10-01
514;7409311507843,7;996361518142125,12;871602848102654,32;53964793913954,7;572207022711363,0;0,0,358,2024-12-23
557;3864914137847,17;36395138197689,30;707964891404284,47;87413777524879,10;5049914583,0;0,0,20,2024-01-20
664;5240479187263,14;510849537218292,24;61908403611897,13;345133658700584,9;960525905443369,0;0,1,214,2024-08-01
592;2674822059015,22;113142981147533,46;25899603230757,2;1072614870343345,12;0,0;0,0,79,2024-03-19
520;4385880699296,4;2496011471970725,7;4579170541523006,14;769585993523428,8;214971436662838,0;0,0,139,2024-05-18
612;0728353298367,12;323516492370128,21;652197323823493,90;6683847228639,7;138364795223608,0;0,0,98,2024-04-07
429;5962313489224,11;187613534755275,15;937140728511093,17;65375902981085,7;335830506651609,1;0,0,152,2024-05-31
417;7125278893288,7;994558420618859,17;463837751658737,6;645667728443455,8;636136325722495,0;0,0,198,2024-07-16
1097;5625102392996,16;139635804718512,24;61255082384207,24;48832541043423,11;243295191902645,1;0,0,273,2024-09-29
1627;1680485538232,11;343948541565544,15;496147489490712,19;606169014304783,11;268282017770982,0;0,0,156,2024-06-04
432;42432579793456,24;695225137506178,46;84268400453998,28;013342542413085,7;887970656332658,1;0,0,50,2024-02-19
450;9209189594776,5;811101649050904,10;668193189633422,16;517855750288444,8;506016973355583,1;0,0,228,2024-08-15
1570;4384920478342,7;063419676428172,11;821558762253025,16;14484861466826,6;776796841594272,0;0,0,10,2024-01-10
559;6156424258497,24;129444275287607,40;5368151406686,15;783394088845,6;985568904788909,0;0,0,149,2024-05-28
526;8539682714681,10;230736437990618,20;528561226269165,19;319585359321408,10;092514426874343,0;0,0,58,2024-02-27
491;47027905917446,15;092683328565164,22;27893433751402,26;132134639479546,11;204422777463352,1;0,0,162,2024-06-10
339;44323454960573,35;685293425701246,72;73476378636995,19;76220344036201,6;605432639060372,1;0,0,351,2024-12-16
461;7807279054283,16;85100250126435,31;745138566683337,41;31872277617631,8;485912704262702,1;0,6,107,2024-04-16
586;251911633218,12;5020283324655,20;9668116162196,87;7543611210699,7;513843887841584,0;0,0,289,2024-10-15
451;2848252532095,127;87859486080812,218;957023624357,12;817326558159095,9;727743319104013,0;0,0,186,2024-07-04
507;1877021603465,3;876015155053166,5;934111319668955,61;69820805505324,7;222967955287089,1;0,0,46,2024-02-15
560;3097844496648,6;051825411534206,11;963871202889647,15;044279603941431,4;147090121080904,0;0,0,129,2024-05-08
515;0827251659518,11;83840743951136,20;854387819724504,5;127475945643131,10;007381422224004,0;0,0,318,2024-11-13
577;9669119663771,22;52613230405909,35;78882268758404,19;84348367468077,7;393032740286522,0;0,0,87,2024-03-27
563;5346428902199,12;759382607565732,23;43190572208548,24;76038865451048,7;60111256822389,1;0,0,249,2024-09-05
550;9119753035097,170;65966784521763,374;7961079629897,21;245266689902547,8;871175833383678,0;0,0,329,2024-11-24
554;8932351780201,4;809844818513451,8;136987882517872,81;33279364235969,8;70566728630524,0;0,0,257,2024-09-13
2145;2556186332504,15;831915935123732,33;70016868904743,111;67009246674527,8;912243317504778,0;0,0,277,2024-10-03
407;5077815267604,10;460000352385924,16;845989098572737,10;88960036572714,4;7405336695076095,1;0,0,278,2024-10-04
589;8201489926547,11;878823305012304,16;027614435626237,10;082023962340235,9;112618024072985,0;0,0,4,2024-01-04
488;6349704454679,13;116174873114584,19;46201500027238,19;390236417205887,4;181887299297731,0;0,0,65,2024-03-05
544;2939742331636,1;1188020091765138,1;876035882758184,19;107821810008257,9;539130287562015,0;0,1,202,2024-07-20
426;1171276617442,49;41515991844115,74;00767350213192,40;265144729931016,10;23676256422116,1;0,0,63,2024-03-03
473;9489912873196,7;302730471884145,9;495041812472651,19;024470193246877,5;262959714549567,1;0,0,143,2024-05-22
466;6831052643474,14;43066503407796,30;64353717151208,229;6947504015646,8;656865981163097,1;0,0,244,2024-08-31
602;252396655474,2;585805711458156,5;325444806104198,12;897382380867755,10;114358259228863,0;0,0,292,2024-10-18
424;49918005726266,9;063190611792455,17;836930180587267,64;26864374367533,7;101992759256934,1;0,0,285,2024-10-11
523;8075038823977,20;3810732537785,29;57361264013549,8;669918337628062,9;347272731417249,0;0,0,180,2024-06-28
481;2741770530615,2;230014372001881,3;140589937934877,7;837602593041469,4;0,0;0,0,174,2024-06-22
513;3424043954333,18;758840171006867,25;527860243446987,8;82077477933185,10;196392236486822,0;0,0,325,2024-11-20
1858;6063880640704,7;040912573583623,13;74122994264424,25;797620348447587,8;059988477386351,0;0,0,111,2024-04-20
487;8494308322676,17;133148711715307,36;5951577488114,43;8575914014226,7;484341246727935,1;0,1,175,2024-06-23
484;67008054934246,13;512188709846871,22;801578455474157,84;56445783482572,9;96808290580896,0;0,0,153,2024-06-01
592;1763552063395,16;261369770929814,22;883432172085083,5;61093999858484,11;458579351447954,0;0,0,356,2024-12-21
621;338271528297,4;654616858951058,8;19749495224301,17;020133769969842,8;971431682707994,0;0,0,217,2024-08-04
564;806094193422,178;27244247804285,287;7225797626878,12;123930232175535,11;217427766097789,0;0,0,297,2024-10-23
652;607748753484,3;06557677262322,5;019398928109034,2;044893509838101,4;8934334949460405,0;0,0,240,2024-08-27
493;5726480537856,12;032153059629694,22;37014963094765,4;260245469592661,9;33189767566813,0;0,0,226,2024-08-13
465;32071780131497,28;071748071535083,54;65137892194662,12;588713257298249,7;735992294291456,0;0,0,186,2024-07-04
433;2767850657433,3;3290556394270543,4;6591573123678325,144;3981166050222,6;423561790567366,0;0,0,48,2024-02-17
629;762658689351,5;003676397580463,6;6650531149383285,19;91187471891461,4;142637130274316,0;0,0,208,2024-07-26
482;71828281770286,10;726928979628504,23;54450715879902,11;521143704875753,9;223574098005326,1;0,0,157,2024-06-05
536;6649197453727,9;627889593853077,14;532871035855782,31;62068435688806,9;750580106833056,0;0,0,225,2024-08-12
1088;8402450875644,22;54297327601304,30;39801533481758,10;289769910785878,10;684045501986494,1;0,0,144,2024-05-23
393;7255476350812,10;951320184061435,16;10816321086498,15;737581908196544,10;352980875270063,1;0,0,111,2024-04-20
572;2875989808413,9;765237557601102,13;03719818677418,61;97235083172406,6;45658062588326,1;0,0,318,2024-11-13
547;7532709185136,25;84168244592641,42;70673462550049,7;150741462875686,10;58141103062426,0;0,0,363,2024-12-28
546;5636876762936,18;976363712900227,38;37327412183595,48;142510199923,10;792695007823689,0;0,0,362,2024-12-27
486;2883311949346,17;765965616485424,28;55203874652199,2;849853294837971,7;48003214949459,1;0,0,132,2024-05-11
568;8605539042028,9;226557904206098,15;682980806753632,17;50453279547448,8;056856527423438,0;0,0,113,2024-04-22
553;4330414567478,16;971434440691606,32;38197374583743,14;823890722235928,6;131691585900916,0;0,0,324,2024-11-19
492;5715326732813,5;38656818731618,9;469611991208076,24;77138772001995,10;961772581306665,0;0,0,89,2024-03-29
568;2881014281597,4;896100434249673,10;16088270219494,14;315244111217943,4;976425708062129,0;0,0,161,2024-06-09
544;1012248237516,20;53787393880879,42;70711448899226,30;257698722208826,9;06994134472754,1;0,0,334,2024-11-29
620;7252027692986,2;734093338403011,3;578708429793088,7;394516645641738,6;806341623768574,0;0,0,75,2024-03-15
635;5911975983638,9;09614514019554,18;194488598862023,10;419568890579686,5;784294360886978,0;0,0,281,2024-10-07
509;3270594141289,9;565916784203294,16;4022971711027,45;14697843099432,4;250543438877184,0;0,0,7,2024-01-07
2336;4431852864677,3;1876907269623307,6;980903986613318,17;210605270018398,7;569187744058014,0;0,0,113,2024-04-22
532;4527847940211,6;220871359437293,10;792644889965912,27;32302531387333,5;4708297708041895,0;0,0,36,2024-02-05
543;3434947373216,175;75308431835046,384;5840152867965,15;2332977207371,8;112838906547609,0;0,0,266,2024-09-22
504;70957592354745,25;12276179309702,49;72077001717312,22;10715607485661,11;53867464680125,1;0,0,113,2024-04-22
438;4521222171108,5;399219802864326,8;227030918207292,2;17989909186482,8;399014652877776,0;0,0,292,2024-10-18
526;4775159730307,28;48469655094369,50;83252136481334,57;17590559365927,11;994561004569295,1;0,0,223,2024-08-10
530;5195260852606,8;913353230991904,19;546289067245255,20;90703218689597,6;035453493043693,0;0,0,211,2024-07-29
514;3871358031547,29;876331676428656,61;89711315325458,18;34216212344593,5;438118400001304,0;0,0,18,2024-01-18
479;2737374843899,5;5855389639497695,7;750662574297362,89;47913523353635,5;945968823543444,0;0,0,241,2024-08-28
440;7085996880538,8;241302026698609,15;95297510673022,22;1096096626788,7;869798922489392,0;0,0,134,2024-05-13
491;1585291980957,15;767305474087198,25;401470122743653,11;95508010400162,12;0,1;0,0,220,2024-08-07
453;66589835942017,10;7439486100668,14;03464854962888,39;61677255882839,4;675770572897118,1;0,0,102,2024-04-11
462;6023460155368,16;61726074510657,27;63671258984747,7;722580465770547,9;23932623632485,0;0,0,140,2024-05-19
462;295273676183,1;8185335751175544,2;74831156568557,16;030425945725057,6;600069327918933,0;0,0,169,2024-06-17
433;2107650354936,66;39912489829248,135;25384503957645,60;28955770686749,7;552393897898074,1;0,0,191,2024-07-09
640;1412915173636,21;76361454023911,34;90007891149992,19;897825004167903,5;483960177467326,0;0,0,25,2024-01-25
524;4245189181837,10;573226588241893,21;61983053569584,25;738487738903668,9;75827664807908,0;0,0,33,2024-02-02
374;8428523440947,11;58657459228802,15;06878222659431,300;27984608016175,7;912149734089756,1;0,0,343,2024-12-08
525;2554161548433,4;64982985239627,7;332954813752776,16;76983609710326,10;174907101388332,0;0,0,329,2024-11-24
436;3638215126165,26;80003165144093,40;65695298588031,16;324354348901224,8;350490388065122,1;0,0,6,2024-01-06
378;1868014235056,174;70156985953614,263;83616699936886,20;260644406966414,4;13675204564625,0;0,0,194,2024-07-12
447;2852566741094,10;872446124932557,14;801399777269452,20;13836231715007,10;193085591950428,1;0,0,230,2024-08-17
526;1439281874793,18;508282695228893,27;177781510103983,34;916067104947494,4;0,0;0,0,137,2024-05-16
581;7723818888051,4;518784416754581,8;133787607001421,9;735065836118984,4;260194634167176,0;0,0,323,2024-11-18
650;9373656967207,3;9934577557631217,6;238679404938278,95;37026358056744,6;165594639736727,0;0,0,216,2024-08-03
607;5939017728655,42;48436544448197,71;18915229820894,139;04741396622256,6;192288916095327,0;0,0,349,2024-12-14
523;8666785667101,18;057720505389987,29;599857770749992,22;04494301106528,10;792042730762963,0;0,0,364,2024-12-29
473;60844547549976,22;67173053087629,47;345702077377695,20;055912212740505,7;657687226499272,0;0,0,183,2024-07-01
694;4015881949915,4;690631681097382,9;91960293448862,9;006122466778553,10;494770583949323,0;0,0,168,2024-06-16
1749;2837126957766,6;382323562236949,11;128610436739386,44;35820236493832,6;864165042828094,1;0,0,282,2024-10-08
540;8357575147767,9;288441419592552,14;83494462892308,3;889136000846225,8;63529273802127,0;0,0,38,2024-02-07
538;5524947733998,4;78977705732625,6;687106580087258,8;23147431687637,8;948084623024412,0;0,0,163,2024-06-11
551;8850856460713,13;972354561835331,30;15321569428715,19;411249341901232,9;3921308341541,0;0,0,142,2024-05-21
531;3383752845634,5;040658943084808,6;826081765593976,93;97306902967324,7;070147651168324,0;0,0,248,2024-09-04
505;5802795871858,3;7552548612423817,5;887808706224683,17;518790863880387,7;244290222430212,0;0,0,103,2024-04-12
507;1884635255764,9;41906516839558,14;771539194898992,15;510716517096622,7;403738841468312,0;0,0,199,2024-07-17
448;36233648920006,4;938243380262425,7;843713971619688,14;29463809672366,4;695175219406392,1;0,0,200,2024-07-18
507;3945137319741,3;3877722116152333,4;905013637234833,24;54708345164641,7;832196273463406,0;0,0,42,2024-02-11
497;22925303937006,9;36149612156966,18;768351386380186,7;509067374762811,7;23263148984744,0;0,0,147,2024-05-26
455;3215113845948,3;5806558067993355,5;049612961531256,42;077812677257135,9;160145788155107,1;0,0,66,2024-03-06
437;2511391289572,20;961670954916556,39;22800627002008,32;66316720516861,8;182602342119337,1;0,0,193,2024-07-11
630;2395793149612,3;2110290037355225,4;532243570230985,24;4118965258757,10;672763606906376,0;0,0,298,2024-10-24
317;4515095803494,3;5537400571342763,4;8454608629671965,341;17289554721737,8;140176950417134,1;0,0,38,2024-02-07
605;4904111153477,6;942537911456848,14;707673211316829,16;495799811161678,6;8755886075594725,0;0,0,141,2024-05-20
1545;1055282606997,13;480121951730773,19;830821598107452,53;346039187838834,8;115394444331569,1;0,0,106,2024-04-15
415;596586055511,12;0294474826325,24;529548771364063,4;622205991447594,9;448334481754328,0;0,0,152,2024-05-31
519;4387443551791,13;466542581258738,24;107370690785416,27;13643927033096,4;4535851844219065,0;0,0,352,2024-12-17
431;4279567002104,5;803615963161449,7;951365158143767,2;481980344763592,6;569502962364819,1;0,0,326,2024-11-21
455;54929831693073,19;666960962707304,42;47873530613109,28;378555774222075,6;611646528229296,0;0,0,38,2024-02-07
493;33099874454746,16;70022196408723,25;42216422806056,4;690162305262984,8;821980405755001,0;0,0,97,2024-04-06
473;3654492720502,3;666698134179502,7;603561559907801,22;27790526667378,9;0545730793839,0;0,0,108,2024-04-17
645;1362266054173,7;512894109613053,10;908188870789306,28;49773387339444,8;202455455669789,0;0,2,119,2024-04-28
596;1407035888477,7;037246961518935,14;556887307371746,19;234393335472543,4;0,0;0,1,151,2024-05-30
616;2933056996495,198;4903536898029,260;400672373965,2;132633665896377,4;696163633616425,0;0,0,74,2024-03-14
583;300323842594,10;343420720889362,18;21065145828046,12;782347529199068,7;522136357085758,0;0,0,57,2024-02-26
472;2568937269663,11;384842349759692,22;684279272203785,61;44873484063584,6;9970611532830524,0;0,0,335,2024-11-30
508;5287840232136,13;36441967275252,28;617445218161564,18;772522310014484,8;010740757672005,0;0,0,252,2024-09-08
569;362473673675,3;910353919278701,8;283232018120756,21;45922802294149,7;0612036751290495,0;0,0,292,2024-10-18
466;6723314664833,14;288946277133432,29;11604831580538,5;207142326334819,11;063284932298076,0;0,0,313,2024-11-08
485;6499215086194,27;079931325959937,56;85085540157373,12;227638707900134,4;0,1;0,0,255,2024-09-11
525;5804761105119,26;768332119569443,39;59833259915912,10;926771030143268,8;605255263059629,0;0,0,254,2024-09-10
517;5107515470241,1;9021178611613256,2;959250041771072,24;49888842804267,9;656020812326943,0;0,0,259,2024-09-15
485;54799841017456,10;71847448507301,16;721588415814907,13;14699030985432,9;4030769167168,1;0,0,270,2024-09-26
472;213165574302,4;3098445430778165,7;065337350277503,116;35312486955948,9;57454597600237,1;0,2,34,2024-02-03
518;3420300508552,1;550814804636554,2;5650300127701526,3;1137366760837266,9;862231816781868,0;0,0,326,2024-11-21
507;9664901682124,13;475391003416853,24;12229463488483,21;67062159924229,6;792040226785552,1;0,0,325,2024-11-20
475;1362003440061,6;448959507099731,9;311599667189032,31;036660919767773,5;797032486046086,0;0,0,238,2024-08-25
480;7967803472132,15;027707535841682,28;88508722524611,10;37129046431616,4;0,1;0,0,179,2024-06-27
575;586075478103,11;98450348654899,17;387236129585112,8;619931080226376,7;274794332640609,0;0,0,104,2024-04-13
521;4272136411606,28;59764761896968,45;16362526662347,19;98359499688105,6;444933752090289,0;0,0,29,2024-01-29
559;5679813345271,8;855771149472615,15;524260851578957,5;289627056435864,10;323217627314277,0;0,0,227,2024-08-14
387;4443211807349,94;2875289409503,190;15875886818785,180;54134985427515,7;42488377969773,1;0,0,232,2024-08-19
595;4416211524141,10;567803303143402,20;77125315912025,6;890979291293147,5;939188525544884,0;0,0,304,2024-10-30
528;9058718134206,43;35979476668495,81;55894668461431,39;92240060400725,5;622929092077799,0;0,0,350,2024-12-15
508;6366187688576,2;332197211183521,3;3588209420504103,15;12967535769518,11;977640107567588,0;0,0,335,2024-11-30
502;4504612918445,31;337569168238478,56;167604139462,10;146043944761166,7;955827370016845,1;0,0,117,2024-04-26
414;782815472862,10;734551563462322,14;799746116854765,10;459965993234576,6;436991073452113,1;0,0,207,2024-07-25
455;4923222181864,2;1803424998036265,3;5749481247522974,23;57048999985451,8;248083615544044,0;0,0,185,2024-07-03
1851;0549640745076,11;4467589926442,19;14086834597072,7;07773476291855,11;793778312330142,0;0,4,138,2024-05-17
576;3605970807383,6;898170140975751,9;214784657837043,17;203581277180035,7;220638715400889,0;0,0,323,2024-11-18
463;174238850223,12;79893967975184,19;794703025954806,9;769445922378004,9;374021418896394,0;0,0,164,2024-06-12
537;7397090992182,24;723482989201067,53;404812898803286,32;09973053626958,10;372922074660648,1;0,0,75,2024-03-15
415;0842355269767,3;0069310512480167,6;489767116591566,23;61635628547632,4;217152216300187,0;0,0,233,2024-08-20
2373;674181568234,17;353051046900816,28;06152078285472,24;893252879933684,6;7231751626609215,0;0,0,284,2024-10-10
552;661048032157,8;566512397660896,11;468761972840884,5;664382316533779,10;122173256317726,0;0,0,255,2024-09-11
534;1972132877764,30;77756806230478,44;97173449730492,15;43731695481835,6;601393121794988,0;0,0,9,2024-01-09
507;30485479146296,7;386997024636366,12;21067663781998,8;352888745371663,8;829250798534567,0;0,0,203,2024-07-21
563;9481668611242,6;13517640296651,13;209045398228854,27;048567243737576,6;48303680175038,0;0,0,305,2024-10-31
537;7419178545091,8;690781659516324,12;402433365928085,5;582870705234864,7;108896192976146,0;0,0,91,2024-03-31
606;1981129209913,9;157997584964846,18;1984454876106,16;88070674326704,6;865272388785788,0;0,0,332,2024-11-27
546;8536589197223,165;41271317855535,231;21625347391463,16;262257095172252,9;273340307391663,0;0,3,150,2024-05-29
549;0181056877126,263;4521056358463,575;1506747679755,8;495349373021684,8;403160228399186,0;0,0,360,2024-12-25
518;1832672671686,3;612905086783275,5;937646384566895,2;5109233305699274,8;19771889002204,0;0,0,176,2024-06-24
447;15271881394665,12;58141435449808,25;13403092107406,299;3329816115033,12;0,1;0,0,33,2024-02-02
558;4681061335235,13;69104676043015,22;019748269585435,9;875306118776288,11;479394814240134,0;0,0,184,2024-07-02
437;3898964406024,7;746004285354897,14;445538801991791,10;350463569676426,4;037512758892439,0;0,0,157,2024-06-05
382;5907288947144,246;6759090382292,363;3078497775872,26;84657907447142,7;113180653562903,1;0,0,53,2024-02-22
584;5958456413629,7;489667684872931,10;72085200892141,19;81212599342548,12;0,0;0,0,296,2024-10-22
550;2519262876765,3;130718270613592,6;7130668384757,22;016180834583817,6;850819938623916,0;0,0,202,2024-07-20
528;9609998188392,12;95416654533941,27;53903661000749,26;01707683447569,12;0,0;0,0,274,2024-09-30
541;1060359839236,5;321679012092196,11;168725065432994,6;756912723205272,7;147346370263479,0;0,0,175,2024-06-23
560;8549023217003,7;242510887408024,13;492001868593078,11;45127239662046,7;532004858906874,0;0,0,244,2024-08-31
507;6144191814383,20;27980349945694,41;11611299778533,32;30212751680218,9;727142718271624,0;0,0,269,2024-09-25
411;08476372988434,5;405357969349376,7;362817781556223,22;0806336692934,7;819585649984329,1;0,0,74,2024-03-14
459;79226275488406,13;671599490256265,21;892470862343536,16;158537096034095,8;989249279148572,1;0,0,96,2024-04-05
481;2976333430981,11;60498152405426,18;36294305143094,25;867156474280605,11;149897398615275,0;0,1,361,2024-12-26
564;4951653428683,13;929000824058402,26;076214863234057,20;39654727588023,9;517601867951536,0;0,0,173,2024-06-21
437;8449837457295,15;516941265121432,25;143061922084456,11;092848763576702,8;2830642642994,0;0,0,155,2024-06-03
601;7493382395386,10;257532964593931,14;70577474133034,9;013385973677488,11;347053683435185,0;0,0,183,2024-07-01
2020;504926692451,6;62640750872976,12;171520277856034,4;9434582699305984,9;753374951750198,0;0,0,323,2024-11-18
462;8014867156938,16;968535103748014,34;49610756609354,18;73446463807747,6;532913673805304,1;0,0,289,2024-10-15
598;9614590367308,21;72110099291277,35;707560004223446,122;1510354822868,11;960150466888038,0;0,0,258,2024-09-14
533;2737222231289,11;951981042490646,16;960361213072325,52;67245085213557,9;284731184100355,1;0,0,75,2024-03-15
500;7185032509065,10;103892239956544,14;923644627411576,5;923060008441622,7;572646462260277,1;0,0,174,2024-06-22
357;95628843341774,15;986093377116672,24;198708653001336,14;689810141667092,4;0,1;0,0,330,2024-11-25
463;2253819958579,8;762085700912786,13;755666981370652,14;50335678921489,5;2448472398706665,0;0,0,231,2024-08-18
502;5108853382592,3;343200090825517,6;28025340236217,13;112571118533577,11;400269820799874,0;0,0,247,2024-09-03
541;56546301265,10;083058269103688,18;56140725326851,6;168193763092895,11;4793305039409,0;0,0,161,2024-06-09
571;0595412281474,3;3220809207049884,6;399895461575433,15;698177181437693,8;17056813746648,0;0,0,186,2024-07-04
496;45537121079207,11;083544252430704,18;024633636593997,3;866058534457182,4;459511648049027,0;0,0,143,2024-05-22
551;2060058686246,4;880878133063161,9;964790481662847,14;62463921888304,5;826049492698788,0;0,0,282,2024-10-08
494;6770240588006,8;750732568608523,12;983277228185248,6;72424594035458,4;752463295900844,0;0,0,128,2024-05-07
503;3089318204831,11;209266366687006,19;303888684877982,3;521033724727707,4;679777480172479,0;0,0,166,2024-06-14
379;6669451575889,95;03113538326568,192;0431804706985,27;85764524043613,12;0,1;0,0,27,2024-01-27
484;6060052333457,14;342828042804356,20;97126251001347,23;07669829686185,12;0,0;0,0,246,2024-09-02
458;89892366302,22;168762931946933,31;01136820266746,6;426500458096267,5;758305692868861,0;0,0,135,2024-05-14
481;44760482136,31;612370931197297,66;23789304581089,20;357404212695776,7;982530048204802,0;0,0,202,2024-07-20
502;682089830392,24;02155082615464,38;64194816539051,33;576299357825526,5;430407680136394,1;0,0,21,2024-01-21
483;0360666700834,10;415633683867847,19;95097042658229,5;210964685142277,7;969523906999827,0;0,0,79,2024-03-19
1226;4421923570048,4;041517660145385,5;346175106802471,9;042783535500302,11;278607766738192,0;0,0,158,2024-06-06
569;5990740528533,7;859194367238044,15;097844034075376,96;81072085600226,10;15743810160603,0;0,0,94,2024-04-03
459;2418061847437,10;281136679766467,16;290370393497472,8;499331034066401,9;617325530994574,1;0,0,8,2024-01-08
407;0821109909393,12;880712552359524,17;391110039302074,24;769257877863936,7;611640525474271,1;0,0,339,2024-12-04
582;0185927645394,31;58838277814296,58;40159665288635,3;6048613006236327,10;52393423199273,0;0,0,259,2024-09-15
505;4617304257336,12;936235784650226,19;620691968354794,30;607527707648018,9;293337493166662,0;0,0,55,2024-02-24
